frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.98,1,0.43,0.44,-0.38,0.35,-0.09,0.92,0.49,0.01,-0.21,0.47,0.17,0.47,0.31,0.54,0.54,0.51,0.66,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.033,0.98,1,0.61,0.41,-0.12,0.49,-0.31,1.24,0.39,0.04,-0.14,0.56,0.18,0.58,0.28,0.34,0.69,0.92,1.18,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,0,0.067,0.98,1,0.47,0.23,-0.09,0.54,-0.41,0.76,0.23,0.23,-0.26,0.02,0.21,0.62,-0.23,0.49,1.38,0.70,1.02,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,0,0.100,0.98,1,0.56,0.28,0.11,0.53,-0.26,0.54,0.47,0.09,-0.15,0.27,0.03,0.34,-0.08,0.59,1.91,0.97,1.14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
5,0,0.133,0.98,1,0.35,-0.11,0.22,0.10,-0.30,0.49,0.84,-0.18,-0.51,0.11,0.34,0.31,0.60,0.64,1.31,0.59,0.43,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0.167,0.98,1,0.43,0.03,0.16,0.20,-0.38,0.38,0.79,-0.22,-0.49,-0.22,0.11,0.35,0.46,0.36,1.34,0.34,1.03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0.200,0.98,1,0.50,0.50,0.28,0.30,-0.29,0.89,0.67,-0.42,-0.64,-0.08,0.05,0.42,0.24,0.50,1.47,0.25,0.78,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0.233,0.98,1,0.36,0.53,-0.09,0.44,-0.06,0.55,0.54,-0.23,-0.44,-0.33,0.17,0.39,0.09,0.59,1.52,0.26,0.41,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,0.267,0.98,1,0.44,0.42,-0.20,0.33,-0.04,1.44,0.18,-0.06,-0.37,-0.02,0.24,0.54,0.38,0.45,0.97,0.45,0.62,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,0.300,0.98,1,0.43,0.00,-0.08,-0.45,-0.33,0.87,0.27,-0.22,-0.31,-0.28,0.54,0.90,0.37,0.64,1.60,0.66,1.19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0,0.333,0.98,1,0.59,0.01,0.01,-0.03,-0.32,1.17,0.16,-0.15,-0.36,-0.39,0.23,0.89,0.23,0.62,1.47,0.42,0.97,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,0.367,0.98,1,0.52,0.52,0.02,-0.03,-0.25,0.92,0.22,-0.29,-0.43,-0.55,0.55,0.84,-0.02,0.51,1.39,0.29,0.88,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,0.400,0.98,1,0.46,0.08,-0.18,-0.29,-0.52,1.48,0.41,-0.58,-0.62,-0.04,0.14,1.47,0.29,1.15,-0.78,0.49,0.72,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0,0.433,0.98,1,0.13,0.27,-0.06,-0.16,-0.45,1.10,0.53,-0.51,-0.54,-0.07,0.12,1.54,0.22,1.34,-0.96,0.75,0.50,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0,0.467,0.98,1,0.40,0.29,0.17,-0.21,-0.52,1.64,0.35,-0.39,-0.44,-0.08,0.42,1.22,0.07,1.12,-0.28,0.68,0.59,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0,0.500,0.98,1,0.38,0.31,0.11,-0.21,-0.57,1.43,0.34,-0.37,-0.36,-0.10,0.47,1.24,0.31,1.06,0.00,0.83,0.54,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,0.533,0.98,1,0.38,0.36,-0.02,0.07,-0.57,1.20,0.51,-0.41,-0.54,-0.08,0.41,1.15,0.50,0.85,0.22,0.77,0.53,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0,0.567,0.98,1,0.36,0.38,-0.06,-0.16,-0.60,1.11,0.39,-0.71,-0.57,-0.40,0.28,0.71,0.48,1.02,0.42,0.59,-0.02,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
